Fp1,246,118,1
Fpz,319,113,2
Fp2,393,118,3
F7,123,218,4
F3,222,237,5
Fz,320,241,6
F4,419,234,7
F8,517,218,8
FC5,153,305,9
Fc1,268,305,10
FC2,374,305,11
FC6,487,304,12
T7,96,396,13
C3,213,371,14
Cz,318,362,15
C4,428,369,16
T8,543,393,17
CP5,174,444,18
CP1,273,418,19
CP2,371,418,20
CP6,467,441,21
P7,167,518,22
P3,241,477,23
Pz,318,465,24
P4,401,477,25
P8,472,517,26
POz,320,515,27
O1,267,565,28
Oz,319,566,29
O2,371,565,30
AF7,177,153,31
AF3,247,169,32
AF4,394,171,33
AF8,462,154,34
F5,173,229,35
F1,272,241,36
F2,370,241,37
F6,469,229,38
FC3,211,305,39
FCz,319,305,40
FC4,429,303,41
C5,155,381,42
C1,269,366,43
C2,373,365,44
C6,484,377,45
CP3,224,426,46
CPz,321,416,47
CP4,417,425,48
P5,203,494,49
P1,280,468,50
P2,361,466,51
P6,435,494,52
PO5,238,533,53
PO3,263,523,54
PO4,377,524,55
PO6,402,533,56
FT7,93,307,57
FT8,545,303,58
TP7,125,465,59
TP8,514,465,60
PO7,217,548,61
PO8,403,534,62